name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
PILGRIM Korean 5% Vitamin C Face Serum (Oil Based) for glowing skin with Hyaluronic acid | Vitamin c serum for radiant ski...,All Grocery & Gourmet Foods,3.9,2593,397.0,550.0,27.8,27.81818181818182
"Keya Italian Pizza Oregano 80gm, Pack 2",All Grocery & Gourmet Foods,4.6,415,175.0,218.0,19.7,19.724770642201836
"Nutty Gritties Premium Mix Berries Dried Fruits Berry 200g - Dried Cranberries, Blueberries, Strawberries, Black Currants...",All Grocery & Gourmet Foods,4.1,3829,329.0,390.0,15.6,15.64102564102564
Anveshan Wood Pressed Coconut Oil - 1 Litre | Plastic Bottle | Kolhu/Kacchi Ghani/Chekku | Natural | Chemical-Free | Cold ...,All Grocery & Gourmet Foods,4.5,2578,499.0,679.0,26.5,26.50957290132548
"Unibic Snack bar  Fruit & Nut 360g Pack of 12, 360g",All Grocery & Gourmet Foods,4.0,1132,240.0,480.0,50.0,50.0
"Puvi 1L Cold Pressed Gingelly / Sesame Oil (Virgin, Chekku / Ghani) - 1 Litre",All Grocery & Gourmet Foods,4.5,2235,599.0,700.0,14.4,14.428571428571429
SFT Baking Soda 1 Kg,All Grocery & Gourmet Foods,4.1,641,167.0,325.0,48.6,48.61538461538461
"Dhara Filtered Ground Nut Oil Jar, 5L",All Grocery & Gourmet Foods,4.3,437,1120.0,1300.0,13.8,13.846153846153847
Yogabar Choco Cereal 345g | No Maida Chocos for Kids | Delicious Chocolate Chocos | Healthy Protein Food & Breakfast Cerea...,All Grocery & Gourmet Foods,4.6,464,99.0,180.0,45.0,45.0
"ITC Master Chef Desi Style Chicken Patty, 330 g| Non-Veg Frozen Snack| Ready to Cook",All Grocery & Gourmet Foods,4.3,311,133.0,190.0,30.0,30.0
Auric A2 Desi Cow Ghee | Vedic Bilona Method | Traditional Curd Churned | Lab Tested | Organically Made Danedar Ghee | Gra...,All Grocery & Gourmet Foods,4.2,226,1425.6,2400.0,40.6,40.6
CowGold Desi Cow A2 Ghee (Sahiwal & Rathi Cow) Bilona Method 1 litre,All Grocery & Gourmet Foods,3.9,1879,1153.0,1495.0,22.9,22.876254180602007
"Slurrp Farm Healthy Breakfast and Snacks Trial Pack Combo, Millet Pancake and Dosa Mix, 300g (Pack of 6, 50g each)",All Grocery & Gourmet Foods,4.0,468,279.0,349.0,20.1,20.057306590257877
True Elements Roasted Flax Seeds Salted Crunch 250g - Flax Seeds for Eating | Diet Snacks | High in Fibre,All Grocery & Gourmet Foods,4.2,81,130.0,150.0,13.3,13.333333333333334
"KLF Nirmal 100% Pure Coconut Oil, 1L Jar",All Grocery & Gourmet Foods,4.4,2795,340.0,390.0,12.8,12.82051282051282
"Complan Nutrition and Health Drink Creamy Classic 500g, Refill pack with power of 100% Milk Protein and contrains 34 Vital...",All Grocery & Gourmet Foods,4.3,1616,244.0,249.0,2.0,2.0080321285140563
